penalty,mixture,.iter,.metric,.estimator,mean,n,std_err,.config,model
3.806869251905427e-7,0.020781170492991805,0,bal_accuracy,binary,0.8565405014785776,50,0.005357902541632282,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,f_meas,binary,0.5409493534940326,50,0.010165970691510692,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,kap,binary,0.49278563635775,50,0.010605893512090696,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,npv,binary,0.983192214736671,50,0.001053498978803312,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,ppv,binary,0.4130755313625888,50,0.010976853421342034,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,precision,binary,0.41307553136258873,50,0.010976853421342034,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,recall,binary,0.8038891821877259,50,0.010934583868743172,Model01,lasso-wv
3.806869251905427e-7,0.020781170492991805,0,roc_auc,binary,0.94219450204913,50,0.0027758466790047086,Model01,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,bal_accuracy,binary,0.8530634529585742,50,0.005638084485863219,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,f_meas,binary,0.5463349331652622,50,0.01065122690285181,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,kap,binary,0.49926085245756363,50,0.01122844425067128,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,npv,binary,0.9823420520799654,50,0.00105170817300577,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,ppv,binary,0.4222458709086838,50,0.01150551043084419,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,precision,binary,0.4222458709086838,50,0.011505510430844192,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,recall,binary,0.7925835718570075,50,0.011207981224154989,Model02,lasso-wv
2.3109089329521756e-9,0.06995010362938046,0,roc_auc,binary,0.9384805228645418,50,0.00330254241737243,Model02,lasso-wv
0.0012722201880633933,0.08052884206175805,0,bal_accuracy,binary,0.8574750005958115,50,0.005296047222000901,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,f_meas,binary,0.541816294691364,50,0.010144740106605933,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,kap,binary,0.49374296265279927,50,0.010570479194796735,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,npv,binary,0.9833476978895728,50,0.0010441753670883212,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,ppv,binary,0.41366251956046574,50,0.011009266229823064,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,precision,binary,0.41366251956046574,50,0.011009266229823067,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,recall,binary,0.8057543345791941,50,0.010859093776927687,Model03,lasso-wv
0.0012722201880633933,0.08052884206175805,0,roc_auc,binary,0.9421350607834982,50,0.0028214297589652117,Model03,lasso-wv
5.133648599317995e-9,0.12036613883450627,0,bal_accuracy,binary,0.8532515539162695,50,0.0059007986352989,Model04,lasso-wv
5.133648599317995e-9,0.12036613883450627,0,f_meas,binary,0.5492343800016872,50,0.010372546131806088,Model04,lasso-wv
5.133648599317995e-9,0.12036613883450627,0,kap,binary,0.502663844965273,50,0.010965390169260222,Model04,lasso-wv
5.133648599317995e-9,0.12036613883450627,0,npv,binary,0.9821532507262511,50,0.001139040226168732,Model04,lasso-wv
