penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
5.442568203146455e-9,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model05,lasso-glove
5.442568203146455e-9,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model05,lasso-glove
5.442568203146455e-9,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model05,lasso-glove
5.442568203146455e-9,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model05,lasso-glove
5.442568203146455e-9,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model05,lasso-glove
5.442568203146455e-9,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model05,lasso-glove
5.442568203146455e-9,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model05,lasso-glove
1.7262073411487325e-8,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model06,lasso-glove
1.7262073411487325e-8,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model06,lasso-glove
1.7262073411487325e-8,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model06,lasso-glove
1.7262073411487325e-8,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model06,lasso-glove
1.7262073411487325e-8,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model06,lasso-glove
1.7262073411487325e-8,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model06,lasso-glove
1.7262073411487325e-8,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model06,lasso-glove
1.7262073411487325e-8,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model06,lasso-glove
3.558923252003906e-8,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model07,lasso-glove
3.558923252003906e-8,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model07,lasso-glove
3.558923252003906e-8,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model07,lasso-glove
3.558923252003906e-8,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model07,lasso-glove
3.558923252003906e-8,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model07,lasso-glove
3.558923252003906e-8,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model07,lasso-glove
3.558923252003906e-8,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model07,lasso-glove
3.558923252003906e-8,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model07,lasso-glove
1.1573357218488666e-7,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model08,lasso-glove
1.1573357218488666e-7,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model08,lasso-glove
1.1573357218488666e-7,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model08,lasso-glove
1.1573357218488666e-7,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model08,lasso-glove
1.1573357218488666e-7,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model08,lasso-glove
1.1573357218488666e-7,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model08,lasso-glove
1.1573357218488666e-7,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model08,lasso-glove
1.1573357218488666e-7,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model08,lasso-glove
