mtry,.iter,.metric,.estimator,mean,n,std_err,.config,model
143,34,npv,binary,0.598988556626664,10,0.0329875390099039,Model1,rf
143,34,ppv,binary,0.9640941724134556,10,0.0037453093394626104,Model1,rf
143,34,precision,binary,0.9640941724134556,10,0.0037453093394626095,Model1,rf
143,34,recall,binary,0.9722223090596764,10,0.0026670847961912346,Model1,rf
143,34,roc_auc,binary,0.9390480249444473,10,0.006941195629369591,Model1,rf
149,20,bal_accuracy,binary,0.757654341440857,10,0.014183019582507094,Model1,rf
149,20,f_meas,binary,0.9679134951806361,10,0.002576304733143026,Model1,rf
149,20,kap,binary,0.5325974584309934,10,0.0292044594888656,Model1,rf
149,20,npv,binary,0.5959418533299606,10,0.0380934817178444,Model1,rf
149,20,ppv,binary,0.9643856225406888,10,0.003830011305569352,Model1,rf
149,20,precision,binary,0.9643856225406888,10,0.003830011305569347,Model1,rf
149,20,recall,binary,0.9715670845677472,10,0.0030190423572775695,Model1,rf
149,20,roc_auc,binary,0.9392089117260675,10,0.006890462345425735,Model1,rf
157,11,bal_accuracy,binary,0.7593959197617925,10,0.015770822109499434,Model1,rf
157,11,f_meas,binary,0.9682500915686377,10,0.002400494105729973,Model1,rf
157,11,kap,binary,0.5350265035498898,10,0.02892428651847216,Model1,rf
157,11,npv,binary,0.6000706850245818,10,0.03638899091582744,Model1,rf
157,11,ppv,binary,0.9647509024096855,10,0.0038673336902438583,Model1,rf
157,11,precision,binary,0.9647509024096855,10,0.003867333690243864,Model1,rf
157,11,recall,binary,0.9719026848186408,10,0.003170627493056234,Model1,rf
157,11,roc_auc,binary,0.9397286890186837,10,0.006365930772293703,Model1,rf
167,19,bal_accuracy,binary,0.7661758587165123,10,0.015203773663260972,Model1,rf
167,19,f_meas,binary,0.9680427029438683,10,0.002498316377575461,Model1,rf
167,19,kap,binary,0.5413331188192778,10,0.028707664343191212,Model1,rf
167,19,npv,binary,0.593861873420697,10,0.03511523654332458,Model1,rf
167,19,ppv,binary,0.9656408951076666,10,0.003896826534062395,Model1,rf
167,19,precision,binary,0.9656408951076666,10,0.0038968265340623997,Model1,rf
167,19,recall,binary,0.9705529709009189,10,0.002738089300127827,Model1,rf
167,19,roc_auc,binary,0.9377526117194653,10,0.006938965145152882,Model1,rf
173,36,bal_accuracy,binary,0.7671568122764997,10,0.015008949135344417,Model1,rf
173,36,f_meas,binary,0.9683817462023375,10,0.002283458678645038,Model1,rf
173,36,kap,binary,0.5438952913812743,10,0.027991506901716593,Model1,rf
173,36,npv,binary,0.5971756087050203,10,0.03476961044091097,Model1,rf
173,36,ppv,binary,0.9659852009667492,10,0.0036461116152231967,Model1,rf
173,36,precision,binary,0.9659852009667492,10,0.003646111615223201,Model1,rf
173,36,recall,binary,0.9708911311537257,10,0.002796723421525592,Model1,rf
173,36,roc_auc,binary,0.9384727483908313,10,0.006809189231483762,Model1,rf
188,26,bal_accuracy,binary,0.7705313081829124,10,0.015366806924183166,Model1,rf
188,26,f_meas,binary,0.9675060932144961,10,0.002481095011215929,Model1,rf
188,26,kap,binary,0.5415833086611055,10,0.027897765875851768,Model1,rf
188,26,npv,binary,0.5867260767554885,10,0.03655687884169805,Model1,rf
188,26,ppv,binary,0.9662459086111376,10,0.004087902183821821,Model1,rf
188,26,precision,binary,0.9662459086111376,10,0.004087902183821817,Model1,rf
188,26,recall,binary,0.968897686996948,10,0.003036216511338417,Model1,rf
188,26,roc_auc,binary,0.9371500997886199,10,0.006889334191100328,Model1,rf
197,10,bal_accuracy,binary,0.7718394529369148,10,0.01334287316712863,Model1,rf
197,10,f_meas,binary,0.967684766473151,10,0.0022638235281752617,Model1,rf
197,10,kap,binary,0.5436897581724871,10,0.027853629305303676,Model1,rf
197,10,npv,binary,0.5887524999367104,10,0.04018517252118548,Model1,rf
197,10,ppv,binary,0.9665700656877302,10,0.0037552847900392157,Model1,rf
197,10,precision,binary,0.9665700656877302,10,0.0037552847900392083,Model1,rf
197,10,recall,binary,0.9689344310504074,10,0.0032002281872238907,Model1,rf
197,10,roc_auc,binary,0.9373921219945932,10,0.006854549199980361,Model1,rf
203,38,bal_accuracy,binary,0.7716537743023195,10,0.013300108590739912,Model1,rf
203,38,f_meas,binary,0.9674871298343757,10,0.002597324641483739,Model1,rf
203,38,kap,binary,0.5437283045959032,10,0.027181071261129234,Model1,rf
203,38,npv,binary,0.5882010329244003,10,0.037975811349973236,Model1,rf
203,38,ppv,binary,0.9665424712569384,10,0.0037746663622482825,Model1,rf
203,38,precision,binary,0.9665424712569384,10,0.00377466636224829,Model1,rf
203,38,recall,binary,0.9685630737812168,10,0.0036011210447081023,Model1,rf
203,38,roc_auc,binary,0.938755149945245,10,0.006564948682970602,Model1,rf
208,17,bal_accuracy,binary,0.7674825578272237,10,0.016048349780729915,Model1,rf
208,17,f_meas,binary,0.9669923961373486,10,0.0027615818527308416,Model1,rf
208,17,kap,binary,0.5355030060211213,10,0.03107310535453203,Model1,rf
208,17,npv,binary,0.5804991365920692,10,0.038531561341225345,Model1,rf
208,17,ppv,binary,0.9658946023500348,10,0.004067856924207793,Model1,rf
208,17,precision,binary,0.9658946023500348,10,0.004067856924207792,Model1,rf
208,17,recall,binary,0.9682206408310252,10,0.0034968710655404146,Model1,rf
208,17,roc_auc,binary,0.938007798195705,10,0.006719679091305089,Model1,rf
218,4,bal_accuracy,binary,0.7713303388071111,10,0.015656089204257987,Model1,rf
218,4,f_meas,binary,0.9671612106501692,10,0.0025676704994294945,Model1,rf
218,4,kap,binary,0.5397032005135777,10,0.03240907431487984,Model1,rf
218,4,npv,binary,0.580122355571272,10,0.04171316785501507,Model1,rf
218,4,ppv,binary,0.966525367997379,10,0.0038962421390906065,Model1,rf
218,4,precision,binary,0.9665253679973789,10,0.0038962421390906004,Model1,rf
218,4,recall,binary,0.9679162027907999,10,0.003255227555604985,Model1,rf
218,4,roc_auc,binary,0.9381086094527431,10,0.006638594481064299,Model1,rf
223,42,bal_accuracy,binary,0.7629546188454231,10,0.01609919653440239,Model1,rf
223,42,f_meas,binary,0.9664865822802003,10,0.002855764184568227,Model1,rf
223,42,kap,binary,0.5278127405199022,10,0.0307264616918695,Model1,rf
223,42,npv,binary,0.574313906705211,10,0.03682949345733702,Model1,rf
223,42,ppv,binary,0.9652293555377883,10,0.004118808967177849,Model1,rf
223,42,precision,binary,0.9652293555377883,10,0.004118808967177851,Model1,rf
223,42,recall,binary,0.9678678440999172,10,0.0034731407059315667,Model1,rf
223,42,roc_auc,binary,0.9373975507225029,10,0.006581796620078605,Model1,rf
228,24,bal_accuracy,binary,0.7717469847863779,10,0.015592443668184327,Model1,rf
228,24,f_meas,binary,0.9666271784497039,10,0.002645863903539699,Model1,rf
228,24,kap,binary,0.5367403998192005,10,0.03342067791036902,Model1,rf
228,24,npv,binary,0.5724082733571897,10,0.04244812579392413,Model1,rf
228,24,ppv,binary,0.9667959138669953,10,0.003658241959516497,Model1,rf
228,24,precision,binary,0.9667959138669953,10,0.0036582419595165006,Model1,rf
228,24,recall,binary,0.9665702230406501,10,0.003538328720806982,Model1,rf
228,24,roc_auc,binary,0.9374913453074815,10,0.006776844289840661,Model1,rf
238,8,bal_accuracy,binary,0.7741206270352778,10,0.015565425810955994,Model1,rf
238,8,f_meas,binary,0.9667785033973846,10,0.00270941037423929,Model1,rf
238,8,kap,binary,0.5405931384522596,10,0.032503101011587966,Model1,rf
238,8,npv,binary,0.5751497424144483,10,0.04075305228856405,Model1,rf
238,8,ppv,binary,0.9671203970128645,10,0.0037040497446682954,Model1,rf
238,8,precision,binary,0.9671203970128645,10,0.0037040497446682976,Model1,rf
238,8,recall,binary,0.9665556027765451,10,0.003681682921437544,Model1,rf
238,8,roc_auc,binary,0.9358477756613623,10,0.007092062984216227,Model1,rf
248,21,bal_accuracy,binary,0.7708556385358801,10,0.015325563764144947,Model1,rf
248,21,f_meas,binary,0.9661052766440185,10,0.002909347345905638,Model1,rf
248,21,kap,binary,0.5335430666446858,10,0.033035489309869916,Model1,rf
248,21,npv,binary,0.5707083234188107,10,0.04305646365387076,Model1,rf
248,21,ppv,binary,0.9664597827754382,10,0.00401682888194974,Model1,rf
248,21,precision,binary,0.9664597827754382,10,0.00401682888194974,Model1,rf
248,21,recall,binary,0.9659079787189264,10,0.004164911061193999,Model1,rf
248,21,roc_auc,binary,0.9361570968919436,10,0.00700309312673561,Model1,rf
253,41,bal_accuracy,binary,0.7679121386493027,10,0.016436556088114933,Model1,rf
253,41,f_meas,binary,0.9650754715555128,10,0.0028596590663951204,Model1,rf
253,41,kap,binary,0.522885030632925,10,0.036291747227752455,Model1,rf
253,41,npv,binary,0.5539020826667885,10,0.045667966497783874,Model1,rf
253,41,ppv,binary,0.9663786993086491,10,0.0036180002418543804,Model1,rf
253,41,precision,binary,0.9663786993086491,10,0.003618000241854375,Model1,rf
253,41,recall,binary,0.9639005307664997,10,0.0040674767868250404,Model1,rf
253,41,roc_auc,binary,0.9366423122765823,10,0.006730993969008432,Model1,rf
256,43,bal_accuracy,binary,0.7739563340858334,10,0.014551251976064206,Model1,rf
256,43,f_meas,binary,0.9665970986974934,10,0.002894841862190154,Model1,rf
256,43,kap,binary,0.5406442653236625,10,0.03284679615466648,Model1,rf
256,43,npv,binary,0.5759625535617202,10,0.04291973690458818,Model1,rf
256,43,ppv,binary,0.9670967804338282,10,0.003582631003880097,Model1,rf
256,43,precision,binary,0.9670967804338282,10,0.003582631003880101,Model1,rf
256,43,recall,binary,0.9662270168776563,10,0.0041935326066791755,Model1,rf
256,43,roc_auc,binary,0.9368389659054898,10,0.006699155360445634,Model1,rf
267,29,bal_accuracy,binary,0.7724319960972323,10,0.01730887316274106,Model1,rf
267,29,f_meas,binary,0.9655688964927677,10,0.002790241994951146,Model1,rf
267,29,kap,binary,0.5296907111364256,10,0.03823446585618027,Model1,rf
267,29,npv,binary,0.5573311579535445,10,0.04721081196221738,Model1,rf
267,29,ppv,binary,0.9673630470583419,10,0.0034040902575712016,Model1,rf
267,29,precision,binary,0.9673630470583418,10,0.003404090257571189,Model1,rf
267,29,recall,binary,0.9639038310965328,10,0.004125967926266692,Model1,rf
267,29,roc_auc,binary,0.9359109043060428,10,0.007088632949340829,Model1,rf
276,13,bal_accuracy,binary,0.7667528692740894,10,0.016938670182144025,Model1,rf
276,13,f_meas,binary,0.9652558936371161,10,0.0029008010085003226,Model1,rf
276,13,kap,binary,0.5227030871719982,10,0.03860860487870278,Model1,rf
276,13,npv,binary,0.555650049336952,10,0.048660172232854175,Model1,rf
276,13,ppv,binary,0.9663933200621596,10,0.0035123362145649357,Model1,rf
276,13,precision,binary,0.9663933200621596,10,0.003512336214564931,Model1,rf
276,13,recall,binary,0.9642486586827397,10,0.004249571444202296,Model1,rf
276,13,roc_auc,binary,0.9361330737727782,10,0.006718710997419238,Model1,rf
284,28,bal_accuracy,binary,0.7651065335789917,10,0.01711139382652338,Model1,rf
284,28,f_meas,binary,0.9649116624727818,10,0.0029584509914385537,Model1,rf
284,28,kap,binary,0.5190621470130683,10,0.03781836511996311,Model1,rf
284,28,npv,binary,0.5518254166427541,10,0.04669338300976806,Model1,rf
284,28,ppv,binary,0.9660585039457875,10,0.0037304280403387896,Model1,rf
284,28,precision,binary,0.9660585039457875,10,0.0037304280403387853,Model1,rf
284,28,recall,binary,0.9638971637631327,10,0.004162424366766987,Model1,rf
284,28,roc_auc,binary,0.9370078669509995,10,0.006701347893463446,Model1,rf
299,40,bal_accuracy,binary,0.7672742706617508,10,0.016866791695804018,Model1,rf
299,40,f_meas,binary,0.9647252012471814,10,0.0030397534009884864,Model1,rf
299,40,kap,binary,0.5203588054351009,10,0.03754209447479255,Model1,rf
299,40,npv,binary,0.5507731138730599,10,0.04692521692474112,Model1,rf
299,40,ppv,binary,0.9663637538148276,10,0.003816162049961379,Model1,rf
299,40,precision,binary,0.9663637538148276,10,0.0038161620499613754,Model1,rf
299,40,recall,binary,0.9632326379286509,10,0.004338573161712109,Model1,rf
299,40,roc_auc,binary,0.9353862095659919,10,0.007160627180045333,Model1,rf
300,44,bal_accuracy,binary,0.7706115247083072,10,0.015307223007808445,Model1,rf
300,44,f_meas,binary,0.9648847294723999,10,0.002975170862497336,Model1,rf
300,44,kap,binary,0.5251951267049759,10,0.03492523126324196,Model1,rf
300,44,npv,binary,0.5543537186107106,10,0.045370170076993746,Model1,rf
300,44,ppv,binary,0.9666839309526998,10,0.0037663980587538622,Model1,rf
300,44,precision,binary,0.9666839309526998,10,0.0037663980587538614,Model1,rf
300,44,recall,binary,0.9632404793550969,10,0.00438411426642833,Model1,rf
300,44,roc_auc,binary,0.9351799769111873,10,0.0070633225845344915,Model1,rf
304,22,bal_accuracy,binary,0.7724929363421159,10,0.017504433887646186,Model1,rf
304,22,f_meas,binary,0.9650558565763323,10,0.0028595696521609305,Model1,rf
304,22,kap,binary,0.526367758871311,10,0.03684596062409355,Model1,rf
304,22,npv,binary,0.5536190712233089,10,0.04600026929821679,Model1,rf
304,22,ppv,binary,0.9670314756472757,10,0.003922745782094851,Model1,rf
304,22,precision,binary,0.9670314756472757,10,0.003922745782094845,Model1,rf
304,22,recall,binary,0.9632413978608096,10,0.004155705034885556,Model1,rf
304,22,roc_auc,binary,0.935736747403383,10,0.006807904354830989,Model1,rf
314,9,bal_accuracy,binary,0.7659828124266899,10,0.016808795529367787,Model1,rf
314,9,f_meas,binary,0.9647363202869604,10,0.0029117771455547136,Model1,rf
314,9,kap,binary,0.518467004395839,10,0.03889342180592334,Model1,rf
314,9,npv,binary,0.5499492273276585,10,0.04960289821650693,Model1,rf
314,9,ppv,binary,0.9663678891957462,10,0.0034692045666951453,Model1,rf
314,9,precision,binary,0.9663678891957462,10,0.003469204566695143,Model1,rf
314,9,recall,binary,0.9632539995333953,10,0.004493648022650994,Model1,rf
314,9,roc_auc,binary,0.9346233297379033,10,0.007385161798565704,Model1,rf
324,27,bal_accuracy,binary,0.7726938038469836,10,0.016684915968928207,Model1,rf
324,27,f_meas,binary,0.9648677228550997,10,0.00302489282459057,Model1,rf
324,27,kap,binary,0.5264021088790382,10,0.03806685958187816,Model1,rf
324,27,npv,binary,0.5530209581552292,10,0.04891652921089925,Model1,rf
324,27,ppv,binary,0.9673243474327013,10,0.003580793411687497,Model1,rf
324,27,precision,binary,0.9673243474327013,10,0.003580793411687497,Model1,rf
324,27,recall,binary,0.9625850732830736,10,0.00475529323434344,Model1,rf
324,27,roc_auc,binary,0.9350740026240846,10,0.0065520378603033365,Model1,rf
327,45,bal_accuracy,binary,0.7659828124266899,10,0.016808795529367787,Model1,rf
327,45,f_meas,binary,0.9647363202869604,10,0.0029117771455547136,Model1,rf
327,45,kap,binary,0.518467004395839,10,0.03889342180592334,Model1,rf
327,45,npv,binary,0.5499492273276585,10,0.04960289821650693,Model1,rf
327,45,ppv,binary,0.9663678891957462,10,0.0034692045666951453,Model1,rf
327,45,precision,binary,0.9663678891957462,10,0.003469204566695143,Model1,rf
327,45,recall,binary,0.9632539995333953,10,0.004493648022650994,Model1,rf
327,45,roc_auc,binary,0.9350802917615776,10,0.007141989196257559,Model1,rf
333,5,bal_accuracy,binary,0.7703172495127826,10,0.01448108152716771,Model1,rf
333,5,f_meas,binary,0.9648826475863512,10,0.0028581157288049266,Model1,rf
333,5,kap,binary,0.5246432136692636,10,0.03624835169757105,Model1,rf
333,5,npv,binary,0.5533928046842794,10,0.048548301359366365,Model1,rf
333,5,ppv,binary,0.9669975434281237,10,0.003289673663970509,Model1,rf
333,5,precision,binary,0.9669975434281237,10,0.003289673663970514,Model1,rf
333,5,recall,binary,0.9629228737055807,10,0.004583641929222986,Model1,rf
333,5,roc_auc,binary,0.9354175340252745,10,0.006934587038194981,Model1,rf
343,18,bal_accuracy,binary,0.7732919612384276,10,0.015466942543287683,Model1,rf
343,18,f_meas,binary,0.9653827943998161,10,0.002797997716465104,Model1,rf
343,18,kap,binary,0.5302916016877924,10,0.03473213686014703,Model1,rf
343,18,npv,binary,0.5580814522737897,10,0.04494445422381349,Model1,rf
343,18,ppv,binary,0.9673557982097172,10,0.003508737843572708,Model1,rf
343,18,precision,binary,0.9673557982097172,10,0.003508737843572706,Model1,rf
343,18,recall,binary,0.9635649378495115,10,0.004351297110888771,Model1,rf
343,18,roc_auc,binary,0.9346969870211301,10,0.006897177675647624,Model1,rf
348,39,bal_accuracy,binary,0.7697073393866318,10,0.015497724364335911,Model1,rf
348,39,f_meas,binary,0.9647014298970782,10,0.0030789515113613594,Model1,rf
348,39,kap,binary,0.5231239543296189,10,0.0378303470381103,Model1,rf
348,39,npv,binary,0.5512466442632241,10,0.04849714806994711,Model1,rf
348,39,ppv,binary,0.9669869586562891,10,0.003325422426498875,Model1,rf
348,39,precision,binary,0.9669869586562891,10,0.0033254224264988763,Model1,rf
348,39,recall,binary,0.9625780534532792,10,0.004879073720044301,Model1,rf
348,39,roc_auc,binary,0.9341710232923527,10,0.007181855227412204,Model1,rf
354,12,bal_accuracy,binary,0.770587189531067,10,0.014460311295295233,Model1,rf
354,12,f_meas,binary,0.964879702393165,10,0.0028408261744286034,Model1,rf
354,12,kap,binary,0.5247781874043929,10,0.03566300447271369,Model1,rf
354,12,npv,binary,0.5531922231568613,10,0.04785111460614803,Model1,rf
354,12,ppv,binary,0.9669972858277044,10,0.0033265233921386593,Model1,rf
354,12,precision,binary,0.9669972858277043,10,0.0033265233921386636,Model1,rf
354,12,recall,binary,0.9629172991966949,10,0.004536512164538836,Model1,rf
354,12,roc_auc,binary,0.9340866716766574,10,0.006799675006732067,Model1,rf
363,25,bal_accuracy,binary,0.7713385568598978,10,0.015258337926703053,Model1,rf
363,25,f_meas,binary,0.9650372302623442,10,0.0029785413207299985,Model1,rf
363,25,kap,binary,0.5267143835809575,10,0.03716176993588112,Model1,rf
363,25,npv,binary,0.5536738492085779,10,0.04760011431451877,Model1,rf
363,25,ppv,binary,0.9673166560451553,10,0.003109803784479392,Model1,rf
