mtry,min_n,.iter,.metric,.estimator,mean,n,std_err,.config,model
56,11,0,bal_accuracy,binary,0.782397931036595,15,0.009835483476441854,Model20,rf-glove
56,11,0,f_meas,binary,0.5604625126028994,15,0.013555531882259955,Model20,rf-glove
56,11,0,kap,binary,0.5235177630044828,15,0.01408843793145428,Model20,rf-glove
56,11,0,npv,binary,0.9686732069467299,15,0.0019208802552883922,Model20,rf-glove
56,11,0,ppv,binary,0.5269242146345922,15,0.017744719289454425,Model20,rf-glove
56,11,0,precision,binary,0.5269242146345922,15,0.017744719289454425,Model20,rf-glove
56,11,0,recall,binary,0.6081967752065152,15,0.021026690783132358,Model20,rf-glove
56,11,0,roc_auc,binary,0.9232601277346223,15,0.004584006572016734,Model20,rf-glove
66,21,0,bal_accuracy,binary,0.7847886595382175,15,0.009301240167668316,Model21,rf-glove
66,21,0,f_meas,binary,0.5581172986875905,15,0.012072075554478194,Model21,rf-glove
66,21,0,kap,binary,0.5203505882301317,15,0.012582107342695359,Model21,rf-glove
66,21,0,npv,binary,0.9690634081836002,15,0.0019198981694487911,Model21,rf-glove
66,21,0,ppv,binary,0.5170406403757645,15,0.015352293317362849,Model21,rf-glove
66,21,0,precision,binary,0.5170406403757646,15,0.015352293317362849,Model21,rf-glove
66,21,0,recall,binary,0.615139559084842,15,0.019793452030847127,Model21,rf-glove
66,21,0,roc_auc,binary,0.921295096248599,15,0.004626658212709896,Model21,rf-glove
28,35,0,bal_accuracy,binary,0.7830385269708583,15,0.009639114236583798,Model22,rf-glove
28,35,0,f_meas,binary,0.5803942735329123,15,0.014909757820141034,Model22,rf-glove
28,35,0,kap,binary,0.5466385536026537,15,0.01563078686422756,Model22,rf-glove
28,35,0,npv,binary,0.9684193788186777,15,0.0018876483944166647,Model22,rf-glove
28,35,0,ppv,binary,0.5679203902055008,15,0.020407876774542692,Model22,rf-glove
28,35,0,precision,binary,0.5679203902055009,15,0.020407876774542727,Model22,rf-glove
28,35,0,recall,binary,0.6025239817437339,15,0.020204305462958976,Model22,rf-glove
28,35,0,roc_auc,binary,0.9325659858104998,15,0.0041895557753769555,Model22,rf-glove
6,17,0,bal_accuracy,binary,0.7572473287654812,15,0.009649716161282934,Model23,rf-glove
6,17,0,f_meas,binary,0.5697922873277135,15,0.014813501341293438,Model23,rf-glove
6,17,0,kap,binary,0.5384734991899479,15,0.015355907916006207,Model23,rf-glove
6,17,0,npv,binary,0.964099854597377,15,0.00194303022890784,Model23,rf-glove
6,17,0,ppv,binary,0.6101815932806242,15,0.019507915235509543,Model23,rf-glove
6,17,0,precision,binary,0.6101815932806243,15,0.01950791523550954,Model23,rf-glove
6,17,0,recall,binary,0.5418641975300037,15,0.019947936776187718,Model23,rf-glove
6,17,0,roc_auc,binary,0.9352646981271443,15,0.004038056763023526,Model23,rf-glove
21,29,0,bal_accuracy,binary,0.7766474674899193,15,0.010516764212053843,Model24,rf-glove
21,29,0,f_meas,binary,0.5759450104881024,15,0.014899917301352731,Model24,rf-glove
21,29,0,kap,binary,0.5425734146733974,15,0.015530088433826238,Model24,rf-glove
21,29,0,npv,binary,0.967331827281754,15,0.0020527364592578755,Model24,rf-glove
21,29,0,ppv,binary,0.5748134872589412,15,0.02053769673451708,Model24,rf-glove
21,29,0,precision,binary,0.5748134872589412,15,0.020537696734517115,Model24,rf-glove
21,29,0,recall,binary,0.5879431970022567,15,0.02229374077608455,Model24,rf-glove
21,29,0,roc_auc,binary,0.9350198531945603,15,0.004125935221878594,Model24,rf-glove
71,22,0,bal_accuracy,binary,0.7848405674891312,15,0.009726021933280609,Model25,rf-glove
71,22,0,f_meas,binary,0.5564820030302373,15,0.013828886933297879,Model25,rf-glove
71,22,0,kap,binary,0.518442146897979,15,0.014461409826998263,Model25,rf-glove
71,22,0,npv,binary,0.9691596654917127,15,0.0019162372074290582,Model25,rf-glove
71,22,0,ppv,binary,0.5136464090540781,15,0.01699620494748895,Model25,rf-glove
71,22,0,precision,binary,0.5136464090540781,15,0.016996204947488942,Model25,rf-glove
71,22,0,recall,binary,0.6159566426074233,15,0.020403926774002334,Model25,rf-glove
71,22,0,roc_auc,binary,0.9181434195100217,15,0.0048289045092941305,Model25,rf-glove
1,4,2,bal_accuracy,binary,0.7585055151987458,15,0.007645305890301279,Model1,rf-glove
1,4,2,f_meas,binary,0.5284923791676207,15,0.014183913323156279,Model1,rf-glove
1,4,2,kap,binary,0.48959680608442724,15,0.0148994242673024,Model1,rf-glove
1,4,2,npv,binary,0.9650129030433533,15,0.0015255752968396034,Model1,rf-glove
1,4,2,ppv,binary,0.5076463465873962,15,0.020642257901314073,Model1,rf-glove
1,4,2,precision,binary,0.507646346587396,15,0.020642257901314062,Model1,rf-glove
1,4,2,recall,binary,0.5606383086426756,15,0.015920443701760257,Model1,rf-glove
1,4,2,roc_auc,binary,0.914374782932614,15,0.0038542897149886485,Model1,rf-glove
1,39,6,bal_accuracy,binary,0.7601733298371518,15,0.009468664322065487,Model1,rf-glove
1,39,6,f_meas,binary,0.5179660297139501,15,0.014712028034864074,Model1,rf-glove
1,39,6,kap,binary,0.47703187584089024,15,0.015395553791665817,Model1,rf-glove
1,39,6,npv,binary,0.9654478107960639,15,0.0018669892074806552,Model1,rf-glove
1,39,6,ppv,binary,0.4829204504569709,15,0.018521616135251478,Model1,rf-glove
1,39,6,precision,binary,0.48292045045697085,15,0.01852161613525149,Model1,rf-glove
1,39,6,recall,binary,0.5688764021094447,15,0.01984894275215378,Model1,rf-glove
1,39,6,roc_auc,binary,0.9147637118481249,15,0.003955160859677603,Model1,rf-glove
11,40,3,bal_accuracy,binary,0.775644388810815,15,0.010453382687738887,Model1,rf-glove
11,40,3,f_meas,binary,0.5879960314496635,15,0.014844350170876899,Model1,rf-glove
11,40,3,kap,binary,0.5566677812762361,15,0.015428753158073029,Model1,rf-glove
11,40,3,npv,binary,0.9670048673601295,15,0.0019846348583805497,Model1,rf-glove
11,40,3,ppv,binary,0.6043134189245094,15,0.019732467283558573,Model1,rf-glove
11,40,3,precision,binary,0.6043134189245094,15,0.019732467283558573,Model1,rf-glove
11,40,3,recall,binary,0.5813983027320092,15,0.02178577696537293,Model1,rf-glove
11,40,3,roc_auc,binary,0.9366016407087875,15,0.004077919996251051,Model1,rf-glove
17,3,14,bal_accuracy,binary,0.7750203783363164,15,0.01098888127773358,Model1,rf-glove
17,3,14,f_meas,binary,0.5832319377426564,15,0.01600709471136827,Model1,rf-glove
17,3,14,kap,binary,0.5513415979025645,15,0.016644462650038553,Model1,rf-glove
17,3,14,npv,binary,0.9669759420116039,15,0.0020371834547783865,Model1,rf-glove
17,3,14,ppv,binary,0.5959553387097346,15,0.021037860986214435,Model1,rf-glove
17,3,14,precision,binary,0.5959553387097346,15,0.021037860986214463,Model1,rf-glove
17,3,14,recall,binary,0.5813386276973761,15,0.022977907688144544,Model1,rf-glove
17,3,14,roc_auc,binary,0.9344745834254179,15,0.004357350945576518,Model1,rf-glove
