cost,rbf_sigma,.iter,.metric,.estimator,mean,n,std_err,.config,model
0.0012495630718786057,0.13022049680993578,0,bal_accuracy,binary,0.5667986552257175,15,0.007707669012388349,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,f_meas,binary,0.9612780627402429,15,0.001075209766529418,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,kap,binary,0.19354721552598206,15,0.021852255355747936,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,npv,binary,0.47201871657754013,15,0.04947213867392794,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,ppv,binary,0.9360825346700131,15,0.002254287734162775,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,precision,binary,0.9360825346700132,15,0.002254287734162769,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,recall,binary,0.9879329771791856,15,0.0010888965248955446,Model01,svm-rbf-glove
0.0012495630718786057,0.13022049680993578,0,roc_auc,binary,0.846017679818177,15,0.008005426875881374,Model01,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,bal_accuracy,binary,0.8500835513139781,15,0.006422025169453673,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,f_meas,binary,0.9138590031277775,15,0.0022906552782415612,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,kap,binary,0.38932740033359303,15,0.011166044172783711,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,npv,binary,0.3118918862042216,15,0.010217121912967446,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,ppv,binary,0.9860729162536178,15,0.0014082756300520189,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,precision,binary,0.9860729162536178,15,0.00140827563005202,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,recall,binary,0.8517119303881753,15,0.0044601089275670535,Model02,svm-rbf-glove
1.042687389922863,8.653417196544882e-5,0,roc_auc,binary,0.9320410287548989,15,0.002297374900523677,Model02,svm-rbf-glove
0.040409881794645955,1.6136587784892246e-10,0,bal_accuracy,binary,0.5198623422300133,15,0.006037572132995897,Model03,svm-rbf-glove
