mtry,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.iter,.metric,.estimator,mean,n,std_err,.config,model
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,bal_accuracy,binary,0.8172310867350634,50,0.006831367664904114,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,f_meas,binary,0.5939249424467679,50,0.010318690296768388,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,kap,binary,0.5582145299087274,50,0.011048047521641945,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,npv,binary,0.9739053596009546,50,0.0014499787182894028,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,ppv,binary,0.5361338690669433,50,0.013246658579631842,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,precision,binary,0.5361338690669433,50,0.013246658579631844,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,recall,binary,0.6813941499608527,50,0.013814861182349649,Model11,xgb-wv-wv
42,23,10,0.09186024181434059,6.485504438058467e-5,0.6502223181622103,0,roc_auc,binary,0.9379491605369841,50,0.0031175813817037254,Model11,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,bal_accuracy,binary,0.8205675361325085,50,0.006548654758019818,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,f_meas,binary,0.6098783825582437,50,0.010169925572082154,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,kap,binary,0.5762701184333442,50,0.010829847012853232,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,npv,binary,0.9742247195049176,50,0.001345176066281612,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,ppv,binary,0.5603763937181478,50,0.013338054438054072,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,precision,binary,0.5603763937181478,50,0.013338054438054069,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,recall,binary,0.6838197588929833,50,0.013222679101556759,Model12,xgb-wv-wv
96,12,14,0.042089192462087456,2.7063224322628025e-8,0.4460151091814041,0,roc_auc,binary,0.9392231539564604,50,0.0029141278532113695,Model12,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,bal_accuracy,binary,0.8487366067766151,50,0.005811953737249181,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,f_meas,binary,0.5540240497330401,50,0.010639522500675836,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,kap,binary,0.5086853135159425,50,0.011282835441790158,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,npv,binary,0.9810320546888041,50,0.0011181530283261981,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,ppv,binary,0.4369677587123326,50,0.012196917498725278,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,precision,binary,0.4369677587123326,50,0.012196917498725278,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,recall,binary,0.7775177714142818,50,0.011600678841747114,Model13,xgb-wv-wv
57,4,8,1.8594767271119006e-7,4.783655458207856,0.3916904116366059,0,roc_auc,binary,0.9401923030228757,50,0.0027672653327467486,Model13,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,bal_accuracy,binary,0.8318895682828592,50,0.006422200146836475,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,f_meas,binary,0.39091027670019474,50,0.007651201185585865,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,kap,binary,0.31474468194768107,50,0.007494776768025847,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,npv,binary,0.9863734779948794,50,0.001543241856756612,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,ppv,binary,0.2557773295892474,50,0.006218951644091574,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,precision,binary,0.25577732958924737,50,0.006218951644091573,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,recall,binary,0.8622207600834473,50,0.01448875707504357,Model14,xgb-wv-wv
121,31,3,6.5992038273650855e-6,3.210301145892477e-10,0.12417804854921997,0,roc_auc,binary,0.913060435337279,50,0.0034252181116915426,Model14,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,bal_accuracy,binary,0.848287900085458,50,0.00581921412288363,Model15,xgb-wv-wv
