penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
2.457884503337254e-10,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model01,lasso
2.457884503337254e-10,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model01,lasso
2.457884503337254e-10,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model01,lasso
2.457884503337254e-10,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model01,lasso
2.457884503337254e-10,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model01,lasso
2.457884503337254e-10,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model01,lasso
2.457884503337254e-10,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model01,lasso
2.457884503337254e-10,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model01,lasso
4.0554983885765414e-10,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model02,lasso
4.0554983885765414e-10,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model02,lasso
4.0554983885765414e-10,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model02,lasso
4.0554983885765414e-10,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model02,lasso
4.0554983885765414e-10,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model02,lasso
4.0554983885765414e-10,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model02,lasso
4.0554983885765414e-10,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model02,lasso
4.0554983885765414e-10,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model02,lasso
7.974102740232067e-10,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model03,lasso
7.974102740232067e-10,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model03,lasso
7.974102740232067e-10,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model03,lasso
7.974102740232067e-10,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model03,lasso
7.974102740232067e-10,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model03,lasso
7.974102740232067e-10,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model03,lasso
7.974102740232067e-10,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model03,lasso
7.974102740232067e-10,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model03,lasso
3.2127070307433665e-9,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model04,lasso
3.2127070307433665e-9,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model04,lasso
3.2127070307433665e-9,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model04,lasso
3.2127070307433665e-9,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model04,lasso
3.2127070307433665e-9,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model04,lasso
3.2127070307433665e-9,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model04,lasso
3.2127070307433665e-9,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model04,lasso
3.2127070307433665e-9,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model04,lasso
5.442568203146455e-9,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model05,lasso
5.442568203146455e-9,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model05,lasso
5.442568203146455e-9,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model05,lasso
5.442568203146455e-9,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model05,lasso
5.442568203146455e-9,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model05,lasso
5.442568203146455e-9,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model05,lasso
5.442568203146455e-9,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model05,lasso
5.442568203146455e-9,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model05,lasso
1.7262073411487325e-8,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model06,lasso
1.7262073411487325e-8,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model06,lasso
1.7262073411487325e-8,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model06,lasso
1.7262073411487325e-8,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model06,lasso
1.7262073411487325e-8,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model06,lasso
1.7262073411487325e-8,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model06,lasso
1.7262073411487325e-8,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model06,lasso
1.7262073411487325e-8,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model06,lasso
3.558923252003906e-8,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model07,lasso
3.558923252003906e-8,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model07,lasso
3.558923252003906e-8,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model07,lasso
3.558923252003906e-8,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model07,lasso
3.558923252003906e-8,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model07,lasso
3.558923252003906e-8,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model07,lasso
3.558923252003906e-8,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model07,lasso
3.558923252003906e-8,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model07,lasso
1.1573357218488666e-7,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model08,lasso
1.1573357218488666e-7,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model08,lasso
1.1573357218488666e-7,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model08,lasso
1.1573357218488666e-7,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model08,lasso
1.1573357218488666e-7,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model08,lasso
1.1573357218488666e-7,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model08,lasso
1.1573357218488666e-7,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model08,lasso
1.1573357218488666e-7,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model08,lasso
2.493707406850199e-7,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model09,lasso
2.493707406850199e-7,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model09,lasso
2.493707406850199e-7,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model09,lasso
2.493707406850199e-7,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model09,lasso
2.493707406850199e-7,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model09,lasso
2.493707406850199e-7,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model09,lasso
2.493707406850199e-7,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model09,lasso
2.493707406850199e-7,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model09,lasso
4.6742315506770874e-7,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model10,lasso
4.6742315506770874e-7,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model10,lasso
4.6742315506770874e-7,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model10,lasso
4.6742315506770874e-7,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model10,lasso
4.6742315506770874e-7,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model10,lasso
4.6742315506770874e-7,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model10,lasso
4.6742315506770874e-7,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model10,lasso
4.6742315506770874e-7,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model10,lasso
2.0163331153732705e-6,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model11,lasso
2.0163331153732705e-6,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model11,lasso
2.0163331153732705e-6,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model11,lasso
2.0163331153732705e-6,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model11,lasso
2.0163331153732705e-6,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model11,lasso
2.0163331153732705e-6,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model11,lasso
2.0163331153732705e-6,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model11,lasso
2.0163331153732705e-6,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model11,lasso
6.0334811619344456e-6,0,bal_accuracy,binary,0.7135479446916595,10,0.020760831713051486,Model12,lasso
6.0334811619344456e-6,0,f_meas,binary,0.9548595938740262,10,0.0032219712001157553,Model12,lasso
6.0334811619344456e-6,0,kap,binary,0.40263584580934964,10,0.040972393857619485,Model12,lasso
6.0334811619344456e-6,0,npv,binary,0.4299462229825133,10,0.0444121125705445,Model12,lasso
6.0334811619344456e-6,0,ppv,binary,0.959076460447783,10,0.003754837435922913,Model12,lasso
6.0334811619344456e-6,0,precision,binary,0.959076460447783,10,0.0037548374359229245,Model12,lasso
6.0334811619344456e-6,0,recall,binary,0.9508013746874884,10,0.004431769046995657,Model12,lasso
6.0334811619344456e-6,0,roc_auc,binary,0.8808450291804603,10,0.00913511943749458,Model12,lasso
1.082963892068829e-5,0,bal_accuracy,binary,0.7138927722778663,10,0.02082787651061601,Model13,lasso
1.082963892068829e-5,0,f_meas,binary,0.9552148698681437,10,0.003270661006198362,Model13,lasso
1.082963892068829e-5,0,kap,binary,0.4050440997492085,10,0.04188998713952148,Model13,lasso
1.082963892068829e-5,0,npv,binary,0.43498326001955023,10,0.04713089667882096,Model13,lasso
1.082963892068829e-5,0,ppv,binary,0.9591107011599899,10,0.0037449252377004497,Model13,lasso
1.082963892068829e-5,0,precision,binary,0.9591107011599899,10,0.00374492523770046,Model13,lasso
1.082963892068829e-5,0,recall,binary,0.9514910298599022,10,0.004729852680884662,Model13,lasso
1.082963892068829e-5,0,roc_auc,binary,0.8811999209819029,10,0.00911210026636574,Model13,lasso
1.7641843419092175e-5,0,bal_accuracy,binary,0.7136967271831608,10,0.02108447134702984,Model14,lasso
1.7641843419092175e-5,0,f_meas,binary,0.9555694474580433,10,0.003246003843173066,Model14,lasso
1.7641843419092175e-5,0,kap,binary,0.4062320536560777,10,0.04248376409632035,Model14,lasso
1.7641843419092175e-5,0,npv,binary,0.4369730861244018,10,0.047368550539004836,Model14,lasso
1.7641843419092175e-5,0,ppv,binary,0.9591364594434382,10,0.0036409105517775943,Model14,lasso
1.7641843419092175e-5,0,precision,binary,0.9591364594434382,10,0.003640910551777606,Model14,lasso
1.7641843419092175e-5,0,recall,binary,0.9521577631999029,10,0.004647666297628585,Model14,lasso
1.7641843419092175e-5,0,roc_auc,binary,0.8822077892941528,10,0.009073023906611079,Model14,lasso
4.266807906231856e-5,0,bal_accuracy,binary,0.7135461330767595,10,0.020648022497719607,Model15,lasso
