mtry,min_n,.iter,.metric,.estimator,mean,n,std_err,.config,model
106,13,0,ppv,binary,0.5551795346066443,50,0.01441931689381314,Model07,rf-wv
106,13,0,precision,binary,0.5551795346066443,50,0.014419316893813136,Model07,rf-wv
106,13,0,recall,binary,0.6203030998887872,50,0.012591443505354214,Model07,rf-wv
106,13,0,roc_auc,binary,0.9264514449236433,50,0.003084147852917105,Model07,rf-wv
90,37,0,bal_accuracy,binary,0.8004487043966382,50,0.006174024118899091,Model08,rf-wv
90,37,0,f_meas,binary,0.5858046713641276,50,0.010185998104332994,Model08,rf-wv
90,37,0,kap,binary,0.5509488145908625,50,0.01076531020315543,Model08,rf-wv
90,37,0,npv,binary,0.9712770031539638,50,0.0013121787686389858,Model08,rf-wv
90,37,0,ppv,binary,0.5493228267533585,50,0.013872917881890155,Model08,rf-wv
90,37,0,precision,binary,0.5493228267533585,50,0.013872917881890155,Model08,rf-wv
90,37,0,recall,binary,0.6430698153126857,50,0.012650222791485385,Model08,rf-wv
90,37,0,roc_auc,binary,0.9303106036143736,50,0.002914651300972228,Model08,rf-wv
22,7,0,bal_accuracy,binary,0.8011509834569364,50,0.006518925714790987,Model09,rf-wv
22,7,0,f_meas,binary,0.6186295596436534,50,0.009971831592529956,Model09,rf-wv
22,7,0,kap,binary,0.58869011520205194,50,0.010497471033103169,Model09,rf-wv
22,7,0,npv,binary,0.9708194402970559,50,0.001389521911840024,Model09,rf-wv
22,7,0,ppv,binary,0.6173385516786748,50,0.014054965923612566,Model09,rf-wv
22,7,0,precision,binary,0.6173385516786748,50,0.014054965923612573,Model09,rf-wv
22,7,0,recall,binary,0.6335760755286743,50,0.013357371580471882,Model09,rf-wv
22,7,0,roc_auc,binary,0.9410059686490275,50,0.00268388353051316,Model09,rf-wv
78,25,0,bal_accuracy,binary,0.796245952103545,50,0.0060998462024080425,Model10,rf-wv
78,25,0,f_meas,binary,0.5852359943579354,50,0.010443723009970197,Model10,rf-wv
78,25,0,kap,binary,0.5507300660720776,50,0.011025946188281725,Model10,rf-wv
78,25,0,npv,binary,0.9706043160392971,50,0.0012640318491783254,Model10,rf-wv
78,25,0,ppv,binary,0.5545109394201224,50,0.013858410955040527,Model10,rf-wv
78,25,0,precision,binary,0.5545109394201223,50,0.013858410955040526,Model10,rf-wv
78,25,0,recall,binary,0.6330933376314815,50,0.012352811972800184,Model10,rf-wv
78,25,0,roc_auc,binary,0.9314612953303189,50,0.0028605012172900138,Model10,rf-wv
18,5,0,bal_accuracy,binary,0.8015604532743812,50,0.00649970873991579,Model11,rf-wv
18,5,0,f_meas,binary,0.6245519080588647,50,0.01031781257065172,Model11,rf-wv
18,5,0,kap,binary,0.5952618003401587,50,0.01090804501926929,Model11,rf-wv
18,5,0,npv,binary,0.970774889399527,50,0.0013719836819489199,Model11,rf-wv
18,5,0,ppv,binary,0.6283291593670535,50,0.014219221038254109,Model11,rf-wv
18,5,0,precision,binary,0.6283291593670536,50,0.014219221038254114,Model11,rf-wv
18,5,0,recall,binary,0.632968498894782,50,0.013148676933541336,Model11,rf-wv
18,5,0,roc_auc,binary,0.9412404428302406,50,0.0027849740301212726,Model11,rf-wv
27,33,0,bal_accuracy,binary,0.8026191860046028,50,0.00623794658422731,Model12,rf-wv
27,33,0,f_meas,binary,0.6097018545372118,50,0.009690298060578573,Model12,rf-wv
27,33,0,kap,binary,0.5781852970324899,50,0.01025516567848905,Model12,rf-wv
27,33,0,npv,binary,0.9711302661930674,50,0.001374618850561763,Model12,rf-wv
27,33,0,ppv,binary,0.594301821106628,50,0.013877719358928089,Model12,rf-wv
27,33,0,precision,binary,0.594301821106628,50,0.013877719358928092,Model12,rf-wv
27,33,0,recall,binary,0.6400957661455199,50,0.012812101973103458,Model12,rf-wv
27,33,0,roc_auc,binary,0.9404231652447431,50,0.002691781934714781,Model12,rf-wv
57,19,0,bal_accuracy,binary,0.7939623032950692,50,0.006394124039004732,Model13,rf-wv
57,19,0,f_meas,binary,0.5840700742877304,50,0.010156516254285172,Model13,rf-wv
57,19,0,kap,binary,0.5498112112135013,50,0.010723820720658042,Model13,rf-wv
57,19,0,npv,binary,0.9700890133995812,50,0.0014049573913398024,Model13,rf-wv
57,19,0,ppv,binary,0.5582030522697248,50,0.01367850662403884,Model13,rf-wv
57,19,0,precision,binary,0.5582030522697248,50,0.013678506624038834,Model13,rf-wv
57,19,0,recall,binary,0.6275110029163882,50,0.013112263869576316,Model13,rf-wv
57,19,0,roc_auc,binary,0.9353781845378618,50,0.0027091961796844844,Model13,rf-wv
102,30,0,bal_accuracy,binary,0.7968159012599921,50,0.0057110824145345475,Model14,rf-wv
102,30,0,f_meas,binary,0.5825046709523489,50,0.009561630419690615,Model14,rf-wv
102,30,0,kap,binary,0.5474840422399982,50,0.010136609579765902,Model14,rf-wv
102,30,0,npv,binary,0.9705703899790417,50,0.001304052648665975,Model14,rf-wv
102,30,0,ppv,binary,0.5487836563801146,50,0.013454582262704441,Model14,rf-wv
102,30,0,precision,binary,0.5487836563801145,50,0.013454582262704438,Model14,rf-wv
102,30,0,recall,binary,0.6353687394779561,50,0.011626161115250038,Model14,rf-wv
102,30,0,roc_auc,binary,0.9281635253509323,50,0.0029770927477261104,Model14,rf-wv
73,16,0,bal_accuracy,binary,0.7931386185303423,50,0.0064668335966822366,Model15,rf-wv
73,16,0,f_meas,binary,0.5827464708969111,50,0.010401693716836129,Model15,rf-wv
73,16,0,kap,binary,0.5483244152045726,50,0.010990545768015895,Model15,rf-wv
73,16,0,npv,binary,0.9700038968181601,50,0.0013561594955351468,Model15,rf-wv
73,16,0,ppv,binary,0.5564657933748953,50,0.01369085779833887,Model15,rf-wv
73,16,0,precision,binary,0.5564657933748953,50,0.013690857798338866,Model15,rf-wv
73,16,0,recall,binary,0.6260866621813278,50,0.013160517648728592,Model15,rf-wv
73,16,0,roc_auc,binary,0.932296996198938,50,0.0028132034208966407,Model15,rf-wv
51,9,0,bal_accuracy,binary,0.7933628971341004,50,0.006623923298523476,Model16,rf-wv
51,9,0,f_meas,binary,0.5894337865410768,50,0.010388237125730919,Model16,rf-wv
51,9,0,kap,binary,0.5561973138981501,50,0.010961227817646874,Model16,rf-wv
51,9,0,npv,binary,0.9698870379201509,50,0.0014578169263736083,Model16,rf-wv
51,9,0,ppv,binary,0.5722633700758388,50,0.014287927012054094,Model16,rf-wv
51,9,0,precision,binary,0.5722633700758388,50,0.014287927012054103,Model16,rf-wv
51,9,0,recall,binary,0.6240114631840898,50,0.013632082032468207,Model16,rf-wv
51,9,0,roc_auc,binary,0.9358878735057639,50,0.0028272543703989424,Model16,rf-wv
88,5,0,bal_accuracy,binary,0.7923779799149032,50,0.00607186727105097,Model17,rf-wv
88,5,0,f_meas,binary,0.5839120157601261,50,0.010193003755549547,Model17,rf-wv
88,5,0,kap,binary,0.5497173967162728,50,0.010777646910073248,Model17,rf-wv
88,5,0,npv,binary,0.9698048671582862,50,0.0013290105213541999,Model17,rf-wv
88,5,0,ppv,binary,0.5599823269971577,50,0.013943392467734399,Model17,rf-wv
88,5,0,precision,binary,0.5599823269971576,50,0.013943392467734392,Model17,rf-wv
88,5,0,recall,binary,0.6238419802894323,50,0.012272498459201099,Model17,rf-wv
88,5,0,roc_auc,binary,0.9298506953465348,50,0.00292154318877396,Model17,rf-wv
31,27,0,bal_accuracy,binary,0.8029902802136618,50,0.006509061901403357,Model18,rf-wv
31,27,0,f_meas,binary,0.608922559433433,50,0.010374082925490673,Model18,rf-wv
31,27,0,kap,binary,0.577324618938882,50,0.010963213825859963,Model18,rf-wv
31,27,0,npv,binary,0.9712676783126023,50,0.0013844260801269164,Model18,rf-wv
31,27,0,ppv,binary,0.5924425093339417,50,0.01453306816033785,Model18,rf-wv
31,27,0,precision,binary,0.5924425093339417,50,0.014533068160337852,Model18,rf-wv
31,27,0,recall,binary,0.6411894046752198,50,0.013308817613895118,Model18,rf-wv
31,27,0,roc_auc,binary,0.9397791002344618,50,0.002710029939405561,Model18,rf-wv
12,15,0,bal_accuracy,binary,0.7980908295541249,50,0.00608290623601414,Model19,rf-wv
12,15,0,f_meas,binary,0.6227541494367069,50,0.009984445125173535,Model19,rf-wv
12,15,0,kap,binary,0.5935213957041447,50,0.010580832309265412,Model19,rf-wv
12,15,0,npv,binary,0.9701592208043555,50,0.0013541096506124713,Model19,rf-wv
12,15,0,ppv,binary,0.6312235909072981,50,0.014153303689361926,Model19,rf-wv
12,15,0,precision,binary,0.6312235909072982,50,0.014153303689361935,Model19,rf-wv
12,15,0,recall,binary,0.6252417610508817,50,0.012240200347907331,Model19,rf-wv
12,15,0,roc_auc,binary,0.9405036666004398,50,0.002820833011912855,Model19,rf-wv
95,11,0,bal_accuracy,binary,0.7941145492718897,50,0.006438177294636619,Model20,rf-wv
95,11,0,f_meas,binary,0.5842604531044566,50,0.010115633703827138,Model20,rf-wv
95,11,0,kap,binary,0.549994085754433,50,0.01070734995542778,Model20,rf-wv
95,11,0,npv,binary,0.9700135525304415,50,0.00141233373192838,Model20,rf-wv
95,11,0,ppv,binary,0.5583692913959406,50,0.013595953468181427,Model20,rf-wv
95,11,0,precision,binary,0.5583692913959406,50,0.013595953468181427,Model20,rf-wv
95,11,0,recall,binary,0.6277427321519489,50,0.013112281741861775,Model20,rf-wv
95,11,0,roc_auc,binary,0.9282734038539586,50,0.00301524180728742,Model20,rf-wv
113,21,0,bal_accuracy,binary,0.7915224253600015,50,0.0057524032463043455,Model21,rf-wv
113,21,0,f_meas,binary,0.5778789492675959,50,0.009834117095180084,Model21,rf-wv
113,21,0,kap,binary,0.5427775239943767,50,0.010382147867543875,Model21,rf-wv
113,21,0,npv,binary,0.9698163238512132,50,0.0012855283596770422,Model21,rf-wv
113,21,0,ppv,binary,0.5489906010882795,50,0.013814001799055679,Model21,rf-wv
113,21,0,precision,binary,0.5489906010882795,50,0.01381400179905567,Model21,rf-wv
113,21,0,recall,binary,0.6240753983206764,50,0.011729109252375748,Model21,rf-wv
113,21,0,roc_auc,binary,0.9257917233103257,50,0.0031455601123337156,Model21,rf-wv
